WORLDWIDE,AFRICA,NORTH AFRICA,NORTH AMERICA,SOUTH AMERICA,LATIN AMERICA,THE CARIBBEAN,SOUTH EAST EUROPE,NORTH EAST EUROPE,SOUTH WEST EUROPE,NORTH WEST EUROPE,NORDICS,MIDDLE EAST,OCEANIA,CENTRAL ASIA,EAST ASIA,SOUTH ASIA,SOUTHEAST ASIA,NORTH ASIA
Please include all territories listed in each of the columns for region Worldwide,Algeria,Algeria,US,Argentina,Argentina,Anguilla,Albania,Belarus,Andorra,Austria,Aland Islands,Bahrain,Australia,Tajikistan,China,Sri Lanka,Brunei,Russia
,Angola,Egypt,Canada,Bolivia,Belize,Antigua and Barbuda,Bosnia and Herzegovina,Czech Republic,Gibraltar,Belgium,Denmark,Iran,Fiji,Uzbekistan,Mongolia,Bangladesh,Cambodia,
,Benin,Libya,,Brazil,Bolivia,Aruba,Bulgaria,Estonia,Italy,France,Faroe Islands,Iraq,Kiribati,Kazakhstan,North Korea,India,Indonesia,
,Botswana,Morocco,,Chile,Bouvet Island,Bahamas,Croatia,Hungary,Portugal,Germany,Finland,Israel,Marshall Islands,Turkmenistan,South Korea,Afghanistan,Laos,
,Burkina Faso,Sudan,,Colombia,Brazil,Barbados,Cyprus,Latvia,San Marino,Guernsey,Iceland,Jordan,Nauru,Kyrgyzstan,Japan,Pakistan,Malaysia,
,Burundi,Tunisia,,Ecuador,Chile,Cayman Islands,Greece,Lithuania,Spain,Ireland,Norway,Kuwait,New Zealand,Georgia,Hong Kong,Bhutan,Myanmar,
,Cabo Verde,Western Sahara,,French Guiana,Colombia,Cuba,Kosovo,Moldova,Vatican City,Isle of Man,Sweden,Lebanon,Palau,Armenia,Taiwan,Nepal,Philippines,
,Cameroon,,,Guyana,Costa Rica,Dominica,Malta,Poland,,Jersey,,Oman,Papua New Guinea,Azerbaijan,Macau,The Maldives,Singapore,
,Central African Republic (CAR),,,Paraguay,Ecuador,Dominican Republic,Montenegro,Russia,,Liechtenstein,,Palestine,Samoa,,,,Thailand,
,Chad,,,Peru,El Salvador,Grenada,North Macedonia,Slovakia,,Luxembourg,,Qatar,Solomon Islands,,,,Timor Lester,
,Comoros,,,Suriname,Falkland Islands (Malvinas),Guadeloupe,Romania,Ukraine,,Monaco,,Saudi Arabia,Tonga,,,,Vietnam,
,"Congo, Democratic Republic of the",,,Uruguay,French Guiana,Haiti,Serbia,,,Netherlands,,Syria,Tuvalu,,,,Christmas Island,
,"Congo, Republic of the",,,Venezuela,Guatemala,Jamaica,Slovenia,,,Sark,,United Arab Emirates,Vanuatu,,,,Cocos Islands,
,Cote d'Ivoire,,,,Guyana,Martinique,Turkey,,,Switzerland,,Yemen,,,,,,
,Djibouti,,,,Honduras,Montserrat,,,,United Kingdom,,,,,,,,
,Egypt,,,,Mexico,Netherlands Antilles,,,,,,,,,,,,
,Equatorial Guinea,,,,Nicaragua,Puerto Rico,,,,,,,,,,,,
,Eritrea,,,,Panama,Saint Barthelemy,,,,,,,,,,,,
,Eswatini (formerly Swaziland),,,,Paraguay,Saint Kitts and Nevis,,,,,,,,,,,,
,Ethiopia,,,,Peru,Saint Lucia,,,,,,,,,,,,
,Gabon,,,,South Georgia and the South Sandwich Islands,Saint Martin,,,,,,,,,,,,
,Gambia,,,,Suriname,Saint Vincent and the Grenadines,,,,,,,,,,,,
,Ghana,,,,Uruguay,Trinidad and Tobago,,,,,,,,,,,,
,Guinea,,,,Venezuela,Turks and Caicos Islands,,,,,,,,,,,,
,Guinea-Bissau,,,,,"Virgin Islands, British",,,,,,,,,,,,
,Kenya,,,,,"Virgin Islands, U.S.",,,,,,,,,,,,
,Lesotho,,,,,,,,,,,,,,,,,
,Liberia,,,,,,,,,,,,,,,,,
,Libya,,,,,,,,,,,,,,,,,
,Madagascar,,,,,,,,,,,,,,,,,
,Malawi,,,,,,,,,,,,,,,,,
,Mali,,,,,,,,,,,,,,,,,
,Mauritania,,,,,,,,,,,,,,,,,
,Mauritius,,,,,,,,,,,,,,,,,
,Morocco,,,,,,,,,,,,,,,,,
,Mozambique,,,,,,,,,,,,,,,,,
,Namibia,,,,,,,,,,,,,,,,,
,Niger,,,,,,,,,,,,,,,,,
,Nigeria,,,,,,,,,,,,,,,,,
,Rwanda,,,,,,,,,,,,,,,,,
,Sao Tome and Principe,,,,,,,,,,,,,,,,,
,Senegal,,,,,,,,,,,,,,,,,
,Seychelles,,,,,,,,,,,,,,,,,
,Sierra Leone,,,,,,,,,,,,,,,,,
,Somalia,,,,,,,,,,,,,,,,,
,South Africa,,,,,,,,,,,,,,,,,
,South Sudan,,,,,,,,,,,,,,,,,
,Sudan,,,,,,,,,,,,,,,,,
,Tanzania,,,,,,,,,,,,,,,,,
,Togo,,,,,,,,,,,,,,,,,
,Tunisia,,,,,,,,,,,,,,,,,
,Uganda,,,,,,,,,,,,,,,,,
,Western Sahara,,,,,,,,,,,,,,,,,
,Zambia,,,,,,,,,,,,,,,,,
,Zimbabwe,,,,,,,,,,,,,,,,,
