Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
Cellcom Israel Ltd.,013Netvision - Amendment #1 to Carriage and Service Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
Cellcom Israel Ltd.,013Netvision - Amendment #2  to Carriage and Service Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
Cellcom Israel Ltd.,013Netvision - Amendment #3  to Carriage and Service Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
Cellcom Israel Ltd.,013Netvision - Carriage and Service Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,ODM,SEE,,
Cellcom Israel Ltd.,013Netvision - Financial Letter -  to Carriage and Service Agreement - Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
Cellcom Israel Ltd.,013Netvision - Side Letter to Carriage and Service Agreement - Content- Services,"Content Processing, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,SEE,,
3DD ENTERTAINMENT LIMITED,3DD - 2018 Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia",,Israel (Including the West Bank) and Africa
4 Digital Media Ltd,4 Digital Media - 2018 EST/TVOD Content License Agreement - Services,"EST, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,Europe,"EUR:Channel Islands, EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","UK & Eire:
• United Kingdom of Great Britain and Northern Ireland,
Channel Islands and Isle of Man"
601 Production LTD,601 Production - 2009 VOD/SVOD Licensing Agrmt - Amended and Restated - Services,"AVOD, SVOD, TVOD",z_VOD Content License Agreement,ODM,Worldwide,,
601 Production LTD,601 Production - Letter of Amendment - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,Worldwide,,LS 6/6/13 - Worldwide per letter of acceptance
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - 2010 TVOD/SVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, MENA, SEE",,"""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - Amend#1 to 2010 TVOD/SVOD Content Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, MENA, SEE",,"Amend #1 adds Kuwait and Saudi Arabia

""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - Amend#2 to 2010 TVOD/SVOD Content Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, Europe, MENA, SEE",,"Amend #2 adds: Serbia, Slovenia, Croatia,
Macedonia, Montenegro, Bosnia and Herzegovina, Bulgaria, Albania and Malta.

Amend #1 adds Kuwait and Saudi Arabia

""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
A&E Television Networks LLC (Multi-Territory - AVOD/TVOD/SVOD),A&E (Multi-Territory) - Amend#5 to 2010 TVOD/SVOD Content Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Africa, Asia, Europe, MENA, SEE",,"Amend #2 adds: Serbia, Slovenia, Croatia,
Macedonia, Montenegro, Bosnia and Herzegovina, Bulgaria, Albania and Malta.

Amend #1 adds Kuwait and Saudi Arabia

""Territory"" means Greece, the Greek speaking areas of Cyprus, the United Arab Emirates, Qatar,
Bahrain, Oman, Egypt and South Africa."
